apply,power,max_weight,equal_mix,mean,min,max,neg,vals
tree_only,0.4,0.04,0.0,0.031100748799479397,0.01979413707284383,0.045708778568612204,0,"0.02831,0.02329,0.02560,0.04515,0.03211,0.02075,0.01979,0.03920,0.04571"
tree_regularized,1.6,0.04,0.2,0.0310983008680951,0.019478919040097714,0.04694352670597812,0,"0.02724,0.02474,0.02571,0.04515,0.03128,0.01948,0.02134,0.03801,0.04694"
tree_regularized,0.4,0.04,0.3,0.031097964382684626,0.01913496073553557,0.04514788015494137,0,"0.02675,0.02400,0.02605,0.04515,0.03174,0.02272,0.01913,0.04007,0.04427"
tree_regularized,3.0,0.1,0.3,0.03109453059804027,0.007700242329020862,0.04695997807663206,0,"0.02990,0.02449,0.02872,0.04515,0.04232,0.00770,0.02347,0.04696,0.03114"
tree_only,1.6,0.04,0.1,0.03109383288583242,0.018039496308631955,0.0484056856372858,0,"0.02831,0.02329,0.02635,0.04515,0.03071,0.01804,0.02222,0.03736,0.04841"
tree_only,1.0,0.04,0.2,0.031092868000875136,0.019810501729285876,0.0466695468146829,0,"0.02831,0.02329,0.02555,0.04515,0.03156,0.01981,0.02089,0.03860,0.04667"
tree_regularized,1.0,0.04,0.1,0.03109251913966957,0.019042334971936678,0.04758300649940754,0,"0.02631,0.02485,0.02583,0.04515,0.03143,0.01904,0.02161,0.03803,0.04758"
tree_regularized,0.8,0.04,0.0,0.031088237197502082,0.018823493617485004,0.04788203745856123,0,"0.02587,0.02489,0.02593,0.04515,0.03154,0.01882,0.02172,0.03799,0.04788"
tree_only,0.6,0.045,0.3,0.031086658431702614,0.020138576125245652,0.04514788015494137,0,"0.02831,0.02329,0.02611,0.04515,0.03281,0.02014,0.02018,0.04033,0.04346"
tree_regularized,2.0,0.04,0.3,0.031079947109265333,0.020335786746281025,0.0456514087055369,0,"0.02783,0.02453,0.02531,0.04515,0.03152,0.02061,0.02034,0.03878,0.04565"
tree_regularized,1.6,0.04,0.3,0.031076554243102794,0.020353675861568388,0.04594632775873868,0,"0.02754,0.02459,0.02538,0.04515,0.03149,0.02035,0.02050,0.03874,0.04595"
tree_only,0.6,0.05,0.3,0.031076344801382532,0.019928936405607667,0.04514788015494137,0,"0.02831,0.02329,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_only,0.6,0.06,0.3,0.031076344801382532,0.019928936405607667,0.04514788015494137,0,"0.02831,0.02329,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_only,0.6,0.08,0.3,0.031076344801382532,0.019928936405607667,0.04514788015494137,0,"0.02831,0.02329,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_only,0.6,0.1,0.3,0.031076344801382532,0.019928936405607667,0.04514788015494137,0,"0.02831,0.02329,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_regularized,0.4,0.045,0.2,0.031073311058819695,0.019563787333533263,0.04514788015494137,0,"0.02652,0.02411,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_regularized,0.4,0.05,0.2,0.031073311058819695,0.019563787333533263,0.04514788015494137,0,"0.02652,0.02411,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_regularized,0.4,0.06,0.2,0.031073311058819695,0.019563787333533263,0.04514788015494137,0,"0.02652,0.02411,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_regularized,0.4,0.08,0.2,0.031073311058819695,0.019563787333533263,0.04514788015494137,0,"0.02652,0.02411,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_regularized,0.4,0.1,0.2,0.031073311058819695,0.019563787333533263,0.04514788015494137,0,"0.02652,0.02411,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_regularized,3.0,0.1,0.1,0.03106833040260904,0.0037557121268281535,0.04799498126543668,0,"0.03035,0.02485,0.02945,0.04515,0.04428,0.00376,0.02608,0.04799,0.02771"
tree_regularized,2.0,0.04,0.2,0.03106816903259589,0.01964614666148605,0.04666106816306938,0,"0.02730,0.02474,0.02570,0.04515,0.03126,0.01965,0.02121,0.03795,0.04666"
tree_only,0.6,0.04,0.3,0.031063344909473132,0.019531771437898617,0.045156817788394005,0,"0.02831,0.02329,0.02551,0.04515,0.03195,0.02124,0.01953,0.03942,0.04516"
