mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.1,3.0,0.2,0.04,0.2,0.0699937488329933,0.041279438261512036,0.028714310571481258,30,0.04000000000000001,0.40000000000000013
rank,30,0.8,1.2,0.1,0.04,0.2,0.06999239658365919,0.041279438261512036,0.028712958322147153,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,1.2,0.2,0.04,0.2,0.06998750177518433,0.041279438261512036,0.02870806351367229,30,0.04000000000000001,0.40000000000000013
rank,30,0.35,1.2,0.2,0.04,0.2,0.06998532296847881,0.041279438261512036,0.028705884706966778,30,0.04000000000000001,0.40000000000000013
rank,30,0.5,1.6,0.05,0.04,0.2,0.06995264639138286,0.041279438261512036,0.028673208129870828,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,2.0,0.0,0.04,0.2,0.06994845696294455,0.041279438261512036,0.028669018701432514,30,0.039999999999999994,0.3999999999999999
rank,30,0.35,3.0,0.05,0.04,0.2,0.0699400337981381,0.041279438261512036,0.02866059553662606,30,0.04,0.39999999999999997
rank,30,0.2,2.4,0.2,0.04,0.2,0.0699222535643914,0.041279438261512036,0.028642815302879363,30,0.04,0.39999999999999997
rank,30,0.35,2.4,0.1,0.04,0.2,0.06991881866865164,0.041279438261512036,0.028639380407139606,30,0.04000000000000001,0.40000000000000013
rank,30,0.0,0.8,0.2,0.05,0.2,0.06989303300960757,0.041279438261512036,0.028613594748095536,30,0.04871986469258,0.4388765463123876
rank,30,0.0,0.8,0.2,0.06,0.2,0.06989303300960757,0.041279438261512036,0.028613594748095536,30,0.04871986469258,0.4388765463123876
rank,30,0.0,0.8,0.2,0.08,0.2,0.06989303300960757,0.041279438261512036,0.028613594748095536,30,0.04871986469258,0.4388765463123876
rank,30,0.0,0.8,0.2,0.1,0.2,0.06989303300960757,0.041279438261512036,0.028613594748095536,30,0.04871986469258,0.4388765463123876
rank,30,0.35,1.6,0.2,0.04,0.2,0.06987156154741353,0.041279438261512036,0.028592123285901494,30,0.039999999999999994,0.3999999999999999
rank,30,0.05,0.8,0.2,0.1,0.2,0.06986152966723594,0.041279438261512036,0.028582091405723903,30,0.04860856833747642,0.4374113500702874
rank,30,0.05,0.8,0.2,0.08,0.2,0.06986152966723594,0.041279438261512036,0.028582091405723903,30,0.04860856833747642,0.4374113500702874
rank,30,0.05,0.8,0.2,0.06,0.2,0.06986152966723594,0.041279438261512036,0.028582091405723903,30,0.04860856833747642,0.4374113500702874
rank,30,0.05,0.8,0.2,0.05,0.2,0.06986152966723594,0.041279438261512036,0.028582091405723903,30,0.04860856833747642,0.4374113500702874
rank,30,0.5,1.6,0.1,0.04,0.2,0.06984946447519726,0.041279438261512036,0.02857002621368522,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,2.0,0.05,0.04,0.2,0.06984103144862466,0.041279438261512036,0.028561593187112627,30,0.04,0.39999999999999997
rank,30,0.2,3.0,0.2,0.04,0.2,0.06983937218644458,0.041279438261512036,0.028559933924932543,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,2.4,0.0,0.04,0.2,0.06983640244765,0.041279438261512036,0.02855696418613797,30,0.04,0.39999999999999997
rank,30,0.8,1.6,0.2,0.04,0.2,0.06983561838520079,0.041279438261512036,0.028556180123688754,30,0.039999999999999994,0.3999999999999999
rank,30,0.5,1.6,0.2,0.04,0.2,0.06983043705512637,0.041279438261512036,0.028550998793614335,30,0.04,0.39999999999999997
rank,30,0.1,0.8,0.2,0.1,0.2,0.0698296140224594,0.041279438261512036,0.028550175760947358,30,0.048495815382805535,0.43592697796020613
rank,30,0.1,0.8,0.2,0.08,0.2,0.0698296140224594,0.041279438261512036,0.028550175760947358,30,0.048495815382805535,0.43592697796020613
rank,30,0.1,0.8,0.2,0.06,0.2,0.0698296140224594,0.041279438261512036,0.028550175760947358,30,0.048495815382805535,0.43592697796020613
rank,30,0.1,0.8,0.2,0.05,0.2,0.0698296140224594,0.041279438261512036,0.028550175760947358,30,0.048495815382805535,0.43592697796020613
rank,30,0.35,3.0,0.1,0.04,0.2,0.0698180671859456,0.041279438261512036,0.028538628924433568,30,0.039999999999999994,0.3999999999999999
rank,30,0.8,1.6,0.1,0.04,0.2,0.06980929398512097,0.041279438261512036,0.02852985572360893,30,0.039999999999999994,0.3999999999999999
