strategy,mean,median,min,max,neg
reweight_ret_5d_low_g1.0_p1.5,0.023521549360803123,0.02476377703851329,0.003833744650065786,0.04509246516573148,0
reweight_close_over_ma20_low_g1.5_p0.8,0.023500855515431393,0.02226671972857039,0.004593033607681901,0.04471693817978448,0
reweight_close_over_ma20_low_g1.0_p1.5,0.02349926192998839,0.020890658070252283,0.00480072009752168,0.04446160025002277,0
reweight_close_over_ma20_low_g1.0_p1.0,0.02349704333005058,0.021276680013242427,0.004591388119645393,0.044565381287227965,0
reweight_close_over_ma60_low_g1.0_p0.8,0.023496424868472796,0.021210350382607573,0.005070976618883172,0.04442090981169661,0
reweight_close_over_ma60_low_g0.8_p1.5,0.02349480206678383,0.0205324880419204,0.0050754545754508815,0.04447199536075086,0
reweight_close_over_ma20_low_g1.0_p2.0,0.023494145489388777,0.020931539515593442,0.004981810474344733,0.04442628292787701,0
reweight_close_over_ma60_low_g0.8_p1.0,0.023484948653002678,0.020745024668916756,0.00501954137827889,0.04445958942098119,0
reweight_ret_60d_low_g1.5_p0.8,0.02348273310143757,0.02218740980935041,0.0030275319218170255,0.04490928332388627,0
reweight_ret_5d_low_g1.0_p2.0,0.023474917692447413,0.02483891564209728,0.0038004681465062667,0.04478096722800293,0
reweight_drawdown_20d_low_g0.5_p1.5,0.023470125679301394,0.020763265010358148,0.00466900511402242,0.044711302927308544,0
reweight_ret_5d_low_g0.8_p1.5,0.023468454343922005,0.02482031038375332,0.0038639532082655054,0.04496108957852811,0
reweight_ret_60d_low_g1.5_p2.0,0.02346447192825922,0.02019891841073799,0.0029810332922703547,0.044818895520174595,0
reweight_close_over_ma20_low_g1.0_p0.8,0.02346388210860525,0.021559164430989,0.004482633594287994,0.04461561837311501,0
reweight_vol_20d_low_g1.5_p2.0,0.02345669598349439,0.019646628616840467,0.003839050675205402,0.04448299120517399,0
reweight_close_over_ma20_low_g0.8_p1.5,0.023450429793542144,0.0206969691007248,0.004708503038594186,0.0444505820963397,0
reweight_ret_5d_low_g0.8_p2.0,0.02344444478209836,0.024915219399250427,0.0038363847493498096,0.044718283355428295,0
reweight_close_over_ma60_low_g0.8_p2.0,0.02343910033574104,0.02029235964978686,0.005044066323813073,0.044465440456601696,0
reweight_close_over_ma20_low_g0.8_p2.0,0.023438452519954817,0.02077835851370779,0.004862853406803314,0.04442169754467118,0
reweight_close_over_ma20_low_g0.8_p1.0,0.023436053638405025,0.020954537015870855,0.004517814156546812,0.04453346352515582,0
reweight_close_over_ma60_low_g0.8_p0.8,0.02343352038889687,0.02084688138358104,0.004942637646577042,0.04442405695184082,0
reweight_vol_20d_low_g1.5_p1.5,0.023432988032741634,0.01960787375454221,0.00401350750434834,0.04455910191931603,0
reweight_drawdown_20d_low_g0.5_p2.0,0.023400376261186382,0.020503362973257055,0.004816583167194424,0.04458499881156784,0
reweight_close_over_ma20_low_g0.8_p0.8,0.02338970511049524,0.021125159834914156,0.004422784272880134,0.04457459194510402,0
reweight_ret_5d_low_g0.5_p0.8,0.02338197763364284,0.02252698508847656,0.003919427352830698,0.0453095967100422,0
reweight_ret_5d_low_g0.5_p1.0,0.02336670403601655,0.022813617706057443,0.00391155500821673,0.04509232599398885,0
reweight_ret_60d_low_g1.0_p1.0,0.023361648815643527,0.02046670410581504,0.003159413073832766,0.04480809953435977,0
reweight_amplitude_ma_20d_low_g1.5_p0.8,0.02335702235026082,0.01976616367527785,0.0031000835011908145,0.04386462145887364,0
reweight_vol_20d_low_g1.5_p1.0,0.02335635608986626,0.019504876726711175,0.004182920476352089,0.04478974862896229,0
