feature,direction,top_k,power,mean,min,max,neg,vals
intraday_mean_5d_rank,low,80,1.0,0.01123892534835188,-0.016377051305934365,0.039343005940335324,4,"0.02768,0.02609,-0.00440,0.00717,0.00566,-0.01043,0.02035,-0.01638,0.03934,-0.00742,0.02374,0.02344"
ret_5d,low,30,2.0,0.010523814092942044,-0.041973746930257405,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
ret_5d_rank,low,30,2.0,0.010523814092942044,-0.041973746930257405,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
excess_ret_5d,low,30,2.0,0.010523814092942044,-0.041973746930257405,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
excess_ret_5d_rank,low,30,2.0,0.010523814092942044,-0.041973746930257405,0.0361950926921365,4,"0.01936,0.03063,0.02762,0.02026,-0.01957,-0.01594,0.02110,-0.04197,0.03064,-0.01115,0.03620,0.02911"
drawdown_20d,low,30,1.5,0.010515412486920018,-0.021304263220611325,0.07204406113006755,5,"0.01701,-0.02051,0.07204,0.01532,-0.00334,-0.02130,0.02874,-0.00147,0.01731,0.02047,0.00460,-0.00269"
drawdown_20d_rank,low,30,1.5,0.010515412486920018,-0.021304263220611325,0.07204406113006755,5,"0.01701,-0.02051,0.07204,0.01532,-0.00334,-0.02130,0.02874,-0.00147,0.01731,0.02047,0.00460,-0.00269"
intraday_mean_5d,low,80,0.7,0.010372974885188778,-0.014803340083125727,0.03725310975912244,4,"0.02693,0.02321,-0.00472,0.00722,0.00484,-0.01093,0.01937,-0.01480,0.03725,-0.00783,0.02149,0.02245"
intraday_mean_5d_rank,low,80,0.7,0.010372974885188778,-0.014803340083125727,0.03725310975912244,4,"0.02693,0.02321,-0.00472,0.00722,0.00484,-0.01093,0.01937,-0.01480,0.03725,-0.00783,0.02149,0.02245"
ret_5d,low,30,1.5,0.010040848725911213,-0.039176895497167505,0.035428672583542695,4,"0.01950,0.03271,0.02148,0.01804,-0.01871,-0.01696,0.02122,-0.03918,0.02924,-0.01100,0.03543,0.02872"
