as_of,start,end,top_k,temperature,rank_blend,n_names,excess_return
20260421,20260422,20260428,80,0.35,0.7,80,0.020081717143889257
20260421,20260422,20260428,80,0.35,0.9,80,0.02008171714388925
20260421,20260422,20260428,80,0.35,1.0,80,0.020081717143889267
20260421,20260422,20260428,80,0.45,0.7,80,0.015517907486006365
20260421,20260422,20260428,80,0.45,0.9,80,0.015517907486006382
20260421,20260422,20260428,80,0.45,1.0,80,0.015517907486006404
20260421,20260422,20260428,80,0.65,0.7,80,0.009926478412152212
20260421,20260422,20260428,80,0.65,0.9,80,0.009926478412152218
20260421,20260422,20260428,80,0.65,1.0,80,0.009926478412152228
20260421,20260422,20260428,80,0.85,0.7,80,0.007189144038740904
20260421,20260422,20260428,80,0.85,0.9,80,0.007189144038740908
20260421,20260422,20260428,80,0.85,1.0,80,0.007189144038740917
20260421,20260422,20260428,80,1.1,0.7,80,0.005441524049690746
20260421,20260422,20260428,80,1.1,0.9,80,0.005441524049690746
20260421,20260422,20260428,80,1.1,1.0,80,0.0054415240496907494
20260421,20260422,20260428,100,0.35,0.7,100,0.016558896937632916
20260421,20260422,20260428,100,0.35,0.9,100,0.01655889693763291
20260421,20260422,20260428,100,0.35,1.0,100,0.016558896937632905
20260421,20260422,20260428,100,0.45,0.7,100,0.01234234945329641
20260421,20260422,20260428,100,0.45,0.9,100,0.0123423494532964
20260421,20260422,20260428,100,0.45,1.0,100,0.0123423494532964
20260421,20260422,20260428,100,0.65,0.7,100,0.007881618142852554
20260421,20260422,20260428,100,0.65,0.9,100,0.007881618142852546
20260421,20260422,20260428,100,0.65,1.0,100,0.007881618142852547
20260421,20260422,20260428,100,0.85,0.7,100,0.005896340191747385
20260421,20260422,20260428,100,0.85,0.9,100,0.005896340191747382
20260421,20260422,20260428,100,0.85,1.0,100,0.005896340191747383
20260421,20260422,20260428,100,1.1,0.7,100,0.004742385157090374
20260421,20260422,20260428,100,1.1,0.9,100,0.00474238515709037
20260421,20260422,20260428,100,1.1,1.0,100,0.004742385157090368
20260424,20260427,20260506,30,0.35,0.7,30,0.054033174196227926
20260424,20260427,20260506,30,0.35,0.9,30,0.05403317419622797
20260424,20260427,20260506,30,0.35,1.0,30,0.05403317419622798
20260424,20260427,20260506,30,0.45,0.7,30,0.055120936901535564
20260424,20260427,20260506,30,0.45,0.9,30,0.05512093690153562
20260424,20260427,20260506,30,0.45,1.0,30,0.055120936901535605
20260424,20260427,20260506,30,0.65,0.7,30,0.0559079040988628
20260424,20260427,20260506,30,0.65,0.9,30,0.05590790409886284
20260424,20260427,20260506,30,0.65,1.0,30,0.05590790409886284
20260424,20260427,20260506,30,0.85,0.7,30,0.05434320356408706
20260424,20260427,20260506,30,0.85,0.9,30,0.05434320356408712
20260424,20260427,20260506,30,0.85,1.0,30,0.05434320356408712
20260424,20260427,20260506,30,1.1,0.7,30,0.05126615637610939
20260424,20260427,20260506,30,1.1,0.9,30,0.051266156376109415
20260424,20260427,20260506,30,1.1,1.0,30,0.05126615637610936
20260424,20260427,20260506,35,0.35,0.7,35,0.05498107684252275
20260424,20260427,20260506,35,0.35,0.9,35,0.054981076842522764
20260424,20260427,20260506,35,0.35,1.0,35,0.05498107684252278
20260424,20260427,20260506,35,0.45,0.7,35,0.05554210995361922
20260424,20260427,20260506,35,0.45,0.9,35,0.05554210995361926
20260424,20260427,20260506,35,0.45,1.0,35,0.055542109953619245
20260424,20260427,20260506,35,0.65,0.7,35,0.05549732983676492
20260424,20260427,20260506,35,0.65,0.9,35,0.05549732983676495
20260424,20260427,20260506,35,0.65,1.0,35,0.055497329836764905
20260424,20260427,20260506,35,0.85,0.7,35,0.052396860482555443
20260424,20260427,20260506,35,0.85,0.9,35,0.05239686048255543
20260424,20260427,20260506,35,0.85,1.0,35,0.052396860482555416
20260424,20260427,20260506,35,1.1,0.7,35,0.046178115693610605
20260424,20260427,20260506,35,1.1,0.9,35,0.04617811569361063
20260424,20260427,20260506,35,1.1,1.0,35,0.046178115693610564
20260424,20260427,20260506,40,0.35,0.7,40,0.05518544950060332
20260424,20260427,20260506,40,0.35,0.9,40,0.05518544950060339
20260424,20260427,20260506,40,0.35,1.0,40,0.05518544950060336
20260424,20260427,20260506,40,0.45,0.7,40,0.05573852194929632
20260424,20260427,20260506,40,0.45,0.9,40,0.05573852194929635
20260424,20260427,20260506,40,0.45,1.0,40,0.055738521949296335
20260424,20260427,20260506,40,0.65,0.7,40,0.054065638865256505
20260424,20260427,20260506,40,0.65,0.9,40,0.054065638865256546
20260424,20260427,20260506,40,0.65,1.0,40,0.054065638865256505
20260424,20260427,20260506,40,0.85,0.7,40,0.04998101678378172
20260424,20260427,20260506,40,0.85,0.9,40,0.04998101678378175
20260424,20260427,20260506,40,0.85,1.0,40,0.04998101678378171
20260424,20260427,20260506,40,1.1,0.7,40,0.043614786698005406
20260424,20260427,20260506,40,1.1,0.9,40,0.043614786698005434
20260424,20260427,20260506,40,1.1,1.0,40,0.043614786698005406
20260424,20260427,20260506,50,0.35,0.7,50,0.05567737362278476
20260424,20260427,20260506,50,0.35,0.9,50,0.055677373622784784
20260424,20260427,20260506,50,0.35,1.0,50,0.05567737362278476
20260424,20260427,20260506,50,0.45,0.7,50,0.05572978062823586
20260424,20260427,20260506,50,0.45,0.9,50,0.05572978062823586
20260424,20260427,20260506,50,0.45,1.0,50,0.05572978062823587
20260424,20260427,20260506,50,0.65,0.7,50,0.051205647701393964
20260424,20260427,20260506,50,0.65,0.9,50,0.05120564770139392
20260424,20260427,20260506,50,0.65,1.0,50,0.05120564770139388
20260424,20260427,20260506,50,0.85,0.7,50,0.04405545072441609
20260424,20260427,20260506,50,0.85,0.9,50,0.044055450724416065
20260424,20260427,20260506,50,0.85,1.0,50,0.044055450724416065
20260424,20260427,20260506,50,1.1,0.7,50,0.03895312094428641
20260424,20260427,20260506,50,1.1,0.9,50,0.03895312094428642
20260424,20260427,20260506,50,1.1,1.0,50,0.03895312094428639
20260424,20260427,20260506,60,0.35,0.7,60,0.05585619930080059
20260424,20260427,20260506,60,0.35,0.9,60,0.055856199300800574
20260424,20260427,20260506,60,0.35,1.0,60,0.05585619930080059
20260424,20260427,20260506,60,0.45,0.7,60,0.053843155884888
20260424,20260427,20260506,60,0.45,0.9,60,0.05384315588488803
20260424,20260427,20260506,60,0.45,1.0,60,0.053843155884888
20260424,20260427,20260506,60,0.65,0.7,60,0.04602268120113494
20260424,20260427,20260506,60,0.65,0.9,60,0.04602268120113494
20260424,20260427,20260506,60,0.65,1.0,60,0.04602268120113494
20260424,20260427,20260506,60,0.85,0.7,60,0.039259259145070155
20260424,20260427,20260506,60,0.85,0.9,60,0.039259259145070155
20260424,20260427,20260506,60,0.85,1.0,60,0.03925925914507014
20260424,20260427,20260506,60,1.1,0.7,60,0.03434012111497904
20260424,20260427,20260506,60,1.1,0.9,60,0.034340121114979055
20260424,20260427,20260506,60,1.1,1.0,60,0.03434012111497904
20260424,20260427,20260506,80,0.35,0.7,80,0.05376002229686895
20260424,20260427,20260506,80,0.35,0.9,80,0.05376002229686899
20260424,20260427,20260506,80,0.35,1.0,80,0.05376002229686895
20260424,20260427,20260506,80,0.45,0.7,80,0.04927046099578841
20260424,20260427,20260506,80,0.45,0.9,80,0.049270460995788384
20260424,20260427,20260506,80,0.45,1.0,80,0.04927046099578841
20260424,20260427,20260506,80,0.65,0.7,80,0.03875208009428571
20260424,20260427,20260506,80,0.65,0.9,80,0.03875208009428571
20260424,20260427,20260506,80,0.65,1.0,80,0.03875208009428571
20260424,20260427,20260506,80,0.85,0.7,80,0.032686951191828045
20260424,20260427,20260506,80,0.85,0.9,80,0.03268695119182803
20260424,20260427,20260506,80,0.85,1.0,80,0.03268695119182803
20260424,20260427,20260506,80,1.1,0.7,80,0.02774814839675932
20260424,20260427,20260506,80,1.1,0.9,80,0.027748148396759306
20260424,20260427,20260506,80,1.1,1.0,80,0.02774814839675932
20260424,20260427,20260506,100,0.35,0.7,100,0.050929879623651864
20260424,20260427,20260506,100,0.35,0.9,100,0.050929879623651864
20260424,20260427,20260506,100,0.35,1.0,100,0.050929879623651864
20260424,20260427,20260506,100,0.45,0.7,100,0.04327607162073403
20260424,20260427,20260506,100,0.45,0.9,100,0.043276071620734005
20260424,20260427,20260506,100,0.45,1.0,100,0.043276071620734005
20260424,20260427,20260506,100,0.65,0.7,100,0.033577951978988635
20260424,20260427,20260506,100,0.65,0.9,100,0.03357795197898861
20260424,20260427,20260506,100,0.65,1.0,100,0.03357795197898862
20260424,20260427,20260506,100,0.85,0.7,100,0.027353580375332587
20260424,20260427,20260506,100,0.85,0.9,100,0.027353580375332573
20260424,20260427,20260506,100,0.85,1.0,100,0.027353580375332587
